City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dzhetygara,52.3544,61.0138,-7.64,83,30,4.72,KZ,1731299065
1,thompson,63.5032,-91.0725,-17.53,95,95,5.15,CA,1731299071
2,suva,-18.9787,177.7857,25.47,81,7,9.6,FJ,1731299077
3,st. john's,49.3207,-51.5476,3.39,70,26,13.0,CA,1731299078
4,coyhaique,-46.7493,-72.208,-4.36,97,99,3.27,CL,1731299084
5,ilulissat,70.6301,-48.6494,-17.36,88,96,9.94,GL,1731299086
6,okha,53.8964,144.7972,-1.51,91,100,22.77,RU,1731299087
7,molepolole,-23.4715,25.7874,20.32,81,100,1.96,BW,1731299088
8,tayshet,55.6938,98.259,2.0,49,100,5.02,RU,1731299092
9,olavarria,-36.7799,-60.6212,9.19,87,96,3.1,AR,1731299101
10,kostrzyn nad odra,52.4559,14.6902,1.06,62,85,1.26,PL,1731299102
11,moussoro,14.7022,16.3914,22.14,29,92,5.94,TD,1731299106
12,beloyarskiy,63.9975,68.2143,-12.84,91,100,7.1,RU,1731299111
13,bac lieu,9.248,105.5448,29.9,68,34,5.4,VN,1731299115
14,qamdo,33.8635,97.1173,1.96,44,73,2.47,CN,1731299122
15,mulanje,-16.3368,36.2836,25.63,61,2,1.15,MW,1731299123
16,navolato,24.1426,-108.2217,24.99,66,0,7.35,MX,1731299125
17,happy valley-goose bay,56.1526,-59.4401,0.5,75,13,12.91,CA,1731299128
18,wamba,2.1457,27.824,17.98,100,100,0.48,CD,1731299133
19,kachia,9.9672,8.1566,17.16,37,100,2.33,NG,1731299136
20,holdrege,40.2953,-99.1778,9.14,73,0,2.39,US,1731299140
21,alotau,-10.6696,149.4353,26.92,84,90,11.95,PG,1731299141
22,ndioum,17.2765,-14.8261,24.44,16,17,5.02,MR,1731299143
23,hailar,49.1212,118.89,-0.08,66,99,5.46,CN,1731299145
24,kinna,57.4357,12.6817,5.98,97,100,0.73,SE,1731299146
25,mhangura,-16.004,30.0837,23.81,47,3,1.31,ZM,1731299150
26,jumla,29.5167,81.5613,8.2,57,1,1.81,NP,1731299154
27,puerto ayacucho,5.7494,-68.4702,25.49,86,95,3.03,VE,1731299157
28,thunder bay,47.7525,-88.9777,7.95,93,100,7.54,CA,1731299158
29,page,36.9318,-110.8534,5.59,42,27,1.1,US,1731299162
30,foumban,5.5722,10.8783,16.12,79,32,1.18,CM,1731299163
31,slavyanka,42.4374,131.5729,6.81,54,0,3.82,RU,1731299164
32,yuzhno-kurilsk,44.4893,149.1241,7.93,94,100,7.09,RU,1731299167
33,sayan,-11.3176,-76.8906,13.56,71,100,0.62,PE,1731299180
34,bytow,54.0224,17.4721,-0.32,77,8,1.76,PL,1731299184
35,ishinomaki,38.7331,141.5078,17.61,52,11,5.22,JP,1731299187
36,ettrick,37.0699,-77.6508,13.97,36,100,0.0,US,1731299189
37,ataq,15.5387,47.4695,21.11,34,25,1.88,YE,1731299190
38,asaba,6.3171,6.7468,23.17,81,99,0.41,NG,1731299191
39,bealanana,-14.2533,49.0899,17.95,77,40,1.3,MG,1731299195
40,maputsoe,-28.5955,27.7956,12.61,87,80,2.7,ZA,1731299196
41,delvada,20.6823,71.3216,27.61,56,0,6.29,IN,1731299198
42,hayma',18.4911,55.3629,22.58,66,4,2.36,OM,1731299199
43,balasore,21.0939,87.4254,26.34,67,56,6.87,IN,1731299201
44,kyzyl-mazhalyk,50.7123,90.8562,-9.58,57,69,4.07,RU,1731299202
45,"laikit, laikit ii (dimembe)",1.6187,125.1187,28.32,70,34,2.33,ID,1731299203
46,niafunke,16.8061,-4.9921,23.27,17,0,4.65,ML,1731299205
47,dryden,53.9681,-93.0828,-3.48,81,100,2.2,CA,1731299208
48,olyokminsk,59.3559,121.3813,-10.69,83,91,0.97,RU,1731299210
49,itaituba,-6.4422,-57.6893,22.55,97,100,1.13,BR,1731299212
50,ketchikan,54.9708,-133.7765,8.81,80,57,10.04,US,1731299213
51,codrington,17.8037,-61.2967,28.07,77,100,6.52,AG,1731299218
52,rumbek,7.0587,30.0593,22.07,89,65,3.01,SS,1731299220
53,val-d'or,48.4339,-77.1784,2.76,82,100,2.44,CA,1731299222
54,la paz,-16.8176,-67.8942,7.39,75,0,1.79,BO,1731299225
55,garissa,0.1307,38.9415,25.16,76,87,3.67,KE,1731299229
56,zhosaly,44.9224,63.6144,7.09,82,70,5.77,KZ,1731299230
57,mitu,1.5951,-70.4565,22.26,95,100,0.85,CO,1731299233
58,howrah,-43.1272,147.9175,11.57,65,8,5.34,AU,1731299237
59,santa cruz,9.5465,-86.4584,25.2,87,100,3.1,CR,1731299242
60,parnarama,-5.5055,-43.0493,25.23,73,100,2.69,BR,1731299243
61,kirakira,-10.7888,161.8296,28.22,78,100,5.19,SB,1731299246
62,berezovyy,56.7207,136.455,-12.42,89,99,6.51,RU,1731299250
63,barcelona,9.9698,-65.2505,25.3,91,37,2.33,VE,1731299253
64,yakeshi,47.4961,120.9127,2.53,71,100,4.95,CN,1731299254
65,tataouine,32.7074,10.2908,13.93,82,3,1.06,TN,1731299255
66,tukrah,33.3953,19.8464,20.48,69,100,5.54,LY,1731299260
67,bilibino,68.3532,167.4901,-23.59,100,91,0.14,RU,1731299261
68,labrador city,57.5412,-69.8298,-4.16,86,73,7.02,CA,1731299263
69,nizhniy odes,65.1936,55.4348,-12.03,97,21,1.93,RU,1731299267
70,okhotsk,57.0908,141.1413,-3.45,55,100,11.31,RU,1731299268
71,hit,33.5882,42.9237,17.82,81,100,2.51,IQ,1731299269
72,ronne,55.0282,15.3835,7.89,84,100,4.23,DK,1731299271
73,norfolk county,42.4076,-80.5319,15.15,77,81,15.3,CA,1731299273
74,saltillo,25.7449,-101.5353,17.76,80,3,5.15,MX,1731299278
75,amga,59.4986,132.7925,-10.28,87,100,2.84,RU,1731299279
76,xinyuan,43.138,83.424,-7.27,57,34,0.8,CN,1731299280
77,debark',13.6945,37.5786,22.7,56,7,1.38,ET,1731299286
78,galle,5.0583,79.8621,27.9,79,82,5.89,LK,1731299289
79,beohari,23.9563,81.7739,25.59,46,0,0.55,IN,1731299290
80,roma,-28.917,144.8644,29.73,23,100,5.48,AU,1731299296
81,slantsy,59.2103,27.9955,0.27,96,100,1.87,RU,1731299297
82,altai,45.4914,94.7852,-2.81,58,95,4.76,MN,1731299298
83,howard springs,-11.8996,135.9636,27.93,73,21,7.38,AU,1731299299
84,ziro,27.9343,93.949,15.9,42,13,0.55,IN,1731299303
85,san jose,10.5641,118.4272,28.47,76,99,3.44,PH,1731299305
86,pavilosta,57.2535,20.2064,7.33,74,100,7.0,LV,1731299306
87,san dionisio ocotepec,16.6939,-96.2268,16.28,85,94,1.19,MX,1731299310
88,guankou,28.039,113.9623,24.87,49,0,1.61,CN,1731299311
89,angaur state,7.2818,133.1383,28.77,69,9,0.48,PW,1731299312
90,cepin,45.5259,18.4763,2.45,66,4,1.53,HR,1731299315
91,laojunmiao,36.9378,97.2592,2.15,42,29,3.23,CN,1731299317
92,zintan,31.3062,12.3274,16.38,46,51,2.86,LY,1731299318
93,weno,9.2503,149.8361,29.18,72,38,3.0,FM,1731299319
94,aasiaat,68.6872,-54.0635,-3.02,83,100,6.02,GL,1731299321
95,greenville,38.8938,-89.2667,11.16,82,0,2.69,US,1731299324
96,santa elena de uairen,5.1606,-62.7236,22.19,96,100,0.35,VE,1731299325
97,valdez,0.6795,-78.7905,21.85,93,100,0.75,EC,1731299329
98,kiffa,16.6818,-11.3494,23.79,15,57,4.61,MR,1731299331
99,luwuk,-0.1735,122.1145,28.73,71,100,0.92,ID,1731299335
100,mount isa,-21.772,140.4897,40.55,12,72,3.57,AU,1731299336
101,chernyshevskiy,63.6917,112.6141,-16.09,97,100,3.13,RU,1731299339
102,sawang daen din,17.0721,103.6368,28.56,50,92,2.33,TH,1731299342
103,encantado,-29.2205,-51.8078,15.03,89,0,0.97,BR,1731299343
104,phalaborwa,-24.0187,31.8669,22.22,87,100,4.03,ZA,1731299346
105,lionel town,17.1924,-77.293,28.47,73,14,2.66,JM,1731299347
106,salaqi,40.5439,110.6146,12.18,21,99,6.96,CN,1731299349
107,mao,15.7495,14.4523,20.41,32,21,4.5,TD,1731299350
108,aleksandrow lodzki,51.8465,19.3391,1.81,95,100,1.54,PL,1731299351
109,mocimboa,-11.3325,40.5642,26.6,75,0,4.0,MZ,1731299353
110,kamyzyak,45.2067,48.3998,6.73,74,39,3.19,RU,1731299355
111,dudinka,71.4333,83.3062,-20.54,100,99,4.65,RU,1731299357
112,ust-tsilma,66.727,51.1373,-10.4,94,40,1.52,RU,1731299358
113,dolbeau-mistassini,50.3094,-72.5351,0.37,99,100,1.08,CA,1731299364
114,turkestan,42.778,68.0418,6.38,57,12,3.45,KZ,1731299365
115,verkhnevilyuysk,62.3056,121.1531,-13.8,96,100,3.0,RU,1731299372
116,muynoq,44.5926,59.1265,8.14,70,69,6.62,UZ,1731299374
